Name,Position_x,Projection,Team_x,Position_y,Salary,Team_y,Kickoff
Will Dissly,TE,9.7,LAC,TE,5100.0,LAC,Sun 8:20PM
Pat Freiermuth,TE,9.7,PIT,TE,5500.0,PIT,Sun 1:00PM
Juwan Johnson,TE,8.0,NO,TE,5400.0,NO,Sun 1:00PM
Kyle Pitts,TE,8.0,ATL,TE,5300.0,ATL,Sun 1:00PM
Cole Kmet,TE,7.9,CHI,TE,5200.0,CHI,Sun 4:25PM
Grant Calcaterra,TE,6.5,PHI,TE,4300.0,PHI,Sun 1:00PM
Noah Gray,TE,6.6,KC,TE,5200.0,KC,Sun 8:20PM
Chig Okonkwo,TE,6.3,TEN,TE,5100.0,TEN,Sun 1:00PM
Noah Fant,TE,6.1,SEA,TE,5000.0,SEA,Sun 4:05PM
Dawson Knox,TE,6.0,BUF,TE,5000.0,BUF,Sun 4:25PM
Tyler Conklin,TE,6.0,NYJ,TE,4900.0,NYJ,Sun 1:00PM
Foster Moreau,TE,5.4,NO,TE,4800.0,NO,Sun 1:00PM
Ja'Tavion Sanders,TE,5.4,CAR,TE,4500.0,CAR,Sun 1:00PM
Tommy Tremble,TE,5.2,CAR,TE,4900.0,CAR,Sun 1:00PM
Darnell Washington,TE,4.5,PIT,TE,4600.0,PIT,Sun 1:00PM
Daniel Bellinger,TE,4.5,NYG,TE,4600.0,NYG,Sun 1:00PM
Colby Parkinson,TE,4.0,LAR,TE,4800.0,LAR,Sun 4:25PM
AJ Barner,TE,3.7,SEA,TE,5000.0,SEA,Sun 4:05PM
Jordan Akins,TE,3.7,CLE,TE,4900.0,CLE,Sun 1:00PM
Josh Oliver,TE,3.7,MIN,TE,4400.0,MIN,Sun 1:00PM
Michael Mayer,TE,3.6,LV,TE,4300.0,LV,Sun 1:00PM
Dalton Kincaid,TE,3.3,BUF,TE,5700.0,BUF,Sun 4:25PM
Elijah Higgins,TE,3.2,ARI,TE,4500.0,ARI,Sun 4:05PM
Brenton Strange,TE,3.1,JAC,TE,4700.0,JAC,Sun 1:00PM
Josh Whyle,TE,2.5,TEN,TE,4100.0,TEN,Sun 1:00PM
Davis Allen,TE,2.3,LAR,TE,4600.0,LAR,Sun 4:25PM
Jeremy Ruckert,TE,2.3,NYJ,TE,4200.0,NYJ,Sun 1:00PM
Tucker Fisk,TE,2.2,LAC,TE,4100.0,LAC,Sun 8:20PM
Johnny Mundt,TE,2.1,MIN,TE,4700.0,MIN,Sun 1:00PM
Julian Hill,TE,2.2,MIA,TE,4200.0,MIA,Sun 1:00PM
Chris Manhertz,TE,2.0,NYG,TE,4100.0,NYG,Sun 1:00PM
MyCole Pruitt,TE,2.1,PIT,TE,4200.0,PIT,Sun 1:00PM
Nick Vannett,TE,2.0,TEN,TE,4200.0,TEN,Sun 1:00PM
Hunter Long,TE,1.9,LAR,TE,4200.0,LAR,Sun 4:25PM
C.J. Uzomah,TE,1.8,PHI,TE,4000.0,PHI,Sun 1:00PM
Durham Smythe,TE,1.7,MIA,TE,4100.0,MIA,Sun 1:00PM
Luke Farrell,TE,1.4,JAC,TE,4100.0,JAC,Sun 1:00PM
Stone Smartt,TE,1.4,LAC,TE,4500.0,LAC,Sun 8:20PM
Charlie Woerner,TE,1.3,ATL,TE,4100.0,ATL,Sun 1:00PM
Pharaoh Brown,TE,1.1,SEA,TE,4100.0,SEA,Sun 4:05PM
Greg Dulcich,TE,0.7,NYG,TE,4400.0,NYG,Sun 1:00PM
Blake Whiteheart,TE,0.9,CLE,TE,4000.0,CLE,Sun 1:00PM
Eric Saubert,TE,0.9,SF,TE,4200.0,SF,Sun 4:25PM
Quintin Morris,TE,0.3,BUF,TE,4300.0,BUF,Sun 4:25PM
Payne Durham,TE,0.9,TB,TE,4000.0,TB,Sun 1:00PM
Tip Reiman,TE,0.8,ARI,TE,4100.0,ARI,Sun 4:05PM
Dallin Holker,TE,0.3,NO,TE,4000.0,NO,Sun 1:00PM
Kenny Yeboah,TE,0.2,NYJ,TE,4200.0,NYJ,Sun 1:00PM
Harrison Bryant,TE,0.0,LV,TE,4000.0,LV,Sun 1:00PM
Gerald Everett,TE,0.0,CHI,TE,4100.0,CHI,Sun 4:25PM
Connor Heyward,TE,0.0,PIT,TE,4100.0,PIT,Sun 1:00PM
Marcedes Lewis,TE,0.0,CHI,TE,4100.0,CHI,Sun 4:25PM
Josiah Deguara,TE,0.0,JAC,TE,4000.0,JAC,Sun 1:00PM
Anthony Firkser,TE,0.0,KC,TE,4000.0,KC,Sun 8:20PM
Baylor Cupp,TE,0.0,KC,TE,4000.0,KC,Sun 8:20PM
Jake Tonges,TE,0.0,SF,TE,4100.0,SF,Sun 4:25PM
E.J. Jenkins,TE,0.0,PHI,TE,4000.0,PHI,Sun 1:00PM
