Name,Position,Salary,Team,Kickoff
Ihmir Smith-Marsette,WR,4200.00,NYG,Sun 1:00PM
Brandon Smith,WR,4000.00,NYJ,Sun 1:00PM
KJ Hamler,WR,4000.00,BUF,Sun 4:25PM
Justin Shorter,WR,4000.00,LV,Sun 1:00PM
Jahan Dotson,WR,4700.00,PHI,Sun 1:00PM
Khalil Shakir,WR,6500.00,BUF,Sun 4:25PM
Erik Ezukanma,WR,4000.00,MIA,Sun 1:00PM
CeeDee Lamb,WR,8100.00,DAL,Mon 8:15PM
Drake Stoops,WR,4000.00,LAR,Sun 4:25PM
Marquise Brown,WR,4000.00,KC,Sun 8:20PM
Tanner Knue,WR,4000.00,TB,Sun 1:00PM
Dylan Drummond,WR,4000.00,ATL,Sun 1:00PM
Terrell Bynum,WR,4000.00,LV,Sun 1:00PM
Amon-Ra St. Brown,WR,8900.00,DET,Thu 8:15PM
Bryce Oliver,WR,4300.00,TEN,Sun 1:00PM
Josh Ali,WR,4000.00,ATL,Sun 1:00PM
Bryan Thompson,WR,4000.00,BUF,Sun 4:25PM
Joshua Palmer,WR,5400.00,LAC,Sun 8:20PM
Cedric Tillman,WR,5800.00,CLE,Sun 1:00PM
Sage Surratt,WR,4000.00,ARI,Sun 4:05PM
Seth Williams,WR,4000.00,DAL,Mon 8:15PM
Anthony Schwartz,WR,4000.00,MIA,Sun 1:00PM
Shedrick Jackson,WR,4000.00,CIN,Mon 8:15PM
Dominique Robinson,WR,4000.00,CHI,Sun 4:25PM
Chris Olave,WR,4000.00,NO,Sun 1:00PM
Jaelen Gill,WR,4000.00,LAC,Sun 8:20PM
Laviska Shenault Jr.,WR,4100.00,LAC,Sun 8:20PM
Daniel Arias,WR,4000.00,ARI,Sun 4:05PM
Dimitri Stanley,WR,4000.00,GB,Thu 8:15PM
Jeshaun Jones,WR,4000.00,MIN,Sun 1:00PM
Daewood Davis,WR,4000.00,CAR,Sun 1:00PM
Cephus Johnson III,WR,4000.00,TB,Sun 1:00PM
Jalen Wayne,WR,4000.00,GB,Thu 8:15PM
Jalen Tolbert,WR,5100.00,DAL,Mon 8:15PM
Elijah Moore,WR,5600.00,CLE,Sun 1:00PM
Austin Trammell,WR,4100.00,JAC,Sun 1:00PM
Charlie Jones,WR,4000.00,CIN,Mon 8:15PM
Cam Johnson,WR,4000.00,CAR,Sun 1:00PM
Justin Hall,WR,4000.00,MIN,Sun 1:00PM
Tyquan Thornton,WR,4000.00,KC,Sun 8:20PM
Tre'Shaun Harrison,WR,4000.00,TEN,Sun 1:00PM
Tim Jones,WR,4700.00,JAC,Sun 1:00PM
Jayden Reed,WR,7100.00,GB,Thu 8:15PM
Michael Wilson,WR,5300.00,ARI,Sun 4:05PM
Simi Fehoko,WR,4000.00,LAC,Sun 8:20PM
Austin Watkins Jr.,WR,4000.00,PHI,Sun 1:00PM
Justyn Ross,WR,4000.00,KC,Sun 8:20PM
Tee Higgins,WR,7700.00,CIN,Mon 8:15PM
Michael Woods II,WR,4000.00,CLE,Sun 1:00PM
Jesse Matthews,WR,4000.00,ATL,Sun 1:00PM
Dax Milne,WR,4000.00,CAR,Sun 1:00PM
Julian Hicks,WR,4000.00,GB,Thu 8:15PM
Jerry Jeudy,WR,6100.00,CLE,Sun 1:00PM
Jaylen Waddle,WR,5900.00,MIA,Sun 1:00PM
DeVonta Smith,WR,7400.00,PHI,Sun 1:00PM
Tyrell Shavers,WR,4000.00,BUF,Sun 4:25PM
Calvin Austin III,WR,5500.00,PIT,Sun 1:00PM
Kevin Austin Jr.,WR,4800.00,NO,Sun 1:00PM
Lawrence Keys III,WR,4000.00,BUF,Sun 4:25PM
Ronnie Bell,WR,4100.00,SF,Sun 4:25PM
Donovan Peoples-Jones,WR,4000.00,DET,Thu 8:15PM
Tarik Black,WR,4000.00,MIA,Sun 1:00PM
Nikko Remigio,WR,4000.00,KC,Sun 8:20PM
Jaylen Johnson,WR,4000.00,LAC,Sun 8:20PM
Kearis Jackson,WR,4000.00,NYG,Sun 1:00PM
Kyle Philips,WR,4000.00,PHI,Sun 1:00PM
Chase Cota- DUP,WR,4000.00,NYG,Sun 1:00PM
Jaelon Darden,WR,4100.00,SEA,Sun 4:05PM
Malik Knowles,WR,4000.00,GB,Thu 8:15PM
Phillip Brooks,WR,4000.00,KC,Sun 8:20PM
Bo Melton,WR,4400.00,GB,Thu 8:15PM
Zavier Scott,WR,4000.00,MIN,Sun 1:00PM
Jalen Nailor,WR,5000.00,MIN,Sun 1:00PM
Cody White,WR,4100.00,SEA,Sun 4:05PM
Marcus Riley,WR,4000.00,NYJ,Sun 1:00PM
Tyler Harrell,WR,4000.00,NYJ,Sun 1:00PM
Tutu Atwell,WR,4900.00,LAR,Sun 4:25PM
Isaiah Hodgins,WR,4100.00,NYG,Sun 1:00PM
Jake Bobo,WR,4200.00,SEA,Sun 4:05PM
Sam Pinckney,WR,4000.00,CAR,Sun 1:00PM
Rondale Moore,WR,4000.00,ATL,Sun 1:00PM
Antoine Green,WR,4000.00,DET,Thu 8:15PM
Easop Winston Jr.,WR,4000.00,NYJ,Sun 1:00PM
Thayer Thomas,WR,4000.00,MIN,Sun 1:00PM
Devin Carter,WR,4000.00,CAR,Sun 1:00PM
Elijah Cooks,WR,4200.00,JAC,Sun 1:00PM
Romeo Doubs,WR,5500.00,GB,Thu 8:15PM
Deven Thompkins,WR,4200.00,CAR,Sun 1:00PM
Gabe Davis,WR,4000.00,JAC,Sun 1:00PM
John Stephens Jr.,WR,4000.00,DAL,Mon 8:15PM
Derius Davis,WR,4300.00,LAC,Sun 8:20PM
Jalen Reagor,WR,4200.00,LAC,Sun 8:20PM
Sam Wiglusz,WR,4000.00,LAR,Sun 4:25PM
Montrell Washington,WR,4000.00,KC,Sun 8:20PM
Keelan Doss,WR,4000.00,LV,Sun 1:00PM
Trey Knox,TE,4000.00,MIN,Sun 1:00PM
Davis Allen,TE,4600.00,LAR,Sun 4:25PM
Elijah Higgins,TE,4500.00,ARI,Sun 4:05PM
Austin Stogner,TE,4000.00,ATL,Sun 1:00PM
Baylor Cupp,TE,4000.00,KC,Sun 8:20PM
Jared Wiley,TE,4000.00,KC,Sun 8:20PM
Erick All Jr.,TE,4000.00,CIN,Mon 8:15PM
Brenton Strange,TE,4700.00,JAC,Sun 1:00PM
